user_id,session_id,event,ts
u0676,s78fym3pknlbd,visit,2025-07-01 01:00:00
u0374,sasek60s0a3mn,visit,2025-07-01 01:00:00
u0371,sd16ogefngcj6,visit,2025-07-01 01:00:00
u0481,s58ktnlfg8g0w,visit,2025-07-01 01:00:00
u0288,s3cmn1wnt55n9,visit,2025-07-01 01:00:00
u0080,syzjdw73mmz0x,visit,2025-07-01 01:00:00
u0118,sc1bdaa4j61w9,visit,2025-07-01 01:00:00
u0254,snh6c1nhkremb,visit,2025-07-01 01:00:00
u0462,sllblju6jaqme,visit,2025-07-01 01:00:00
u0331,s4rbmmzt7cfjc,visit,2025-07-01 01:00:00
u0588,sreho4flefqx7,visit,2025-07-01 01:00:00
u0458,sud5bmuyrfa7a,visit,2025-07-01 01:00:00
u0118,sc1bdaa4j61w9,signup,2025-07-01 01:02:00
u0371,sd16ogefngcj6,signup,2025-07-01 01:10:00
u0676,s78fym3pknlbd,signup,2025-07-01 01:13:00
u0080,syzjdw73mmz0x,signup,2025-07-01 01:32:00
u0371,sd16ogefngcj6,activate,2025-07-01 01:38:00
u0374,sasek60s0a3mn,signup,2025-07-01 01:47:00
u0374,sasek60s0a3mn,activate,2025-07-01 01:53:00
u0462,sllblju6jaqme,signup,2025-07-01 01:55:00
u0175,smbrr029f4hyy,visit,2025-07-01 02:00:00
u0561,sto3l54slc9w4,visit,2025-07-01 02:00:00
u0517,sr89vv69mltfb,visit,2025-07-01 02:00:00
u0320,slaa542b9y17j,visit,2025-07-01 02:00:00
u0451,su3r1m5r093ok,visit,2025-07-01 02:00:00
u0184,sgdtcu3fy27bn,visit,2025-07-01 02:00:00
u0467,sj5w2714s2dch,visit,2025-07-01 02:00:00
u0325,sleq70msr67oh,visit,2025-07-01 02:00:00
u0171,soseetfq1rpiv,visit,2025-07-01 02:00:00
u0800,sd82j01e3zcfp,visit,2025-07-01 02:00:00
u0370,s8w2kbv2mwz6c,visit,2025-07-01 02:00:00
u0614,scoai7mx96yf2,visit,2025-07-01 02:00:00
u0425,si8nwn7syved8,visit,2025-07-01 02:00:00
u0222,sex4mlo7v40pi,visit,2025-07-01 02:00:00
u0467,sj5w2714s2dch,signup,2025-07-01 02:01:00
u0561,sto3l54slc9w4,signup,2025-07-01 02:02:00
u0561,sto3l54slc9w4,activate,2025-07-01 02:16:00
u0222,sex4mlo7v40pi,activate,2025-07-01 02:20:00
u0222,sex4mlo7v40pi,signup,2025-07-01 02:32:00
u0517,sr89vv69mltfb,signup,2025-07-01 02:39:00
u0425,si8nwn7syved8,signup,2025-07-01 02:46:00
u0614,scoai7mx96yf2,signup,2025-07-01 02:52:00
u0080,syzjdw73mmz0x,activate,2025-07-01 02:53:00
u0171,soseetfq1rpiv,signup,2025-07-01 02:56:00
u0118,sc1bdaa4j61w9,purchase,2025-07-01 02:57:00
u0059,s37edc4huh7ms,visit,2025-07-01 03:00:00
u0305,smnposaeiyv51,visit,2025-07-01 03:00:00
u0017,sx7y43tvdatjf,visit,2025-07-01 03:00:00
u0146,sd7lgygi62lmy,visit,2025-07-01 03:00:00
u0044,sdtlvw7vp8369,visit,2025-07-01 03:00:00
u0230,sphyar1cnbaqr,visit,2025-07-01 03:00:00
u0207,scc7i563eidoo,visit,2025-07-01 03:00:00
u0793,sc09ng433oyz6,visit,2025-07-01 03:00:00
u0487,sggsaaz4ykhnh,visit,2025-07-01 03:00:00
u0460,ss9edj8h2enc6,visit,2025-07-01 03:00:00
u0081,srr72l4wzge7d,visit,2025-07-01 03:00:00
u0186,s4d1ynijprnbz,visit,2025-07-01 03:00:00
u0480,s1xkcawjnrxqi,visit,2025-07-01 03:00:00
u0081,srr72l4wzge7d,signup,2025-07-01 03:03:00
u0676,s78fym3pknlbd,purchase,2025-07-01 03:17:00
u0462,sllblju6jaqme,purchase,2025-07-01 03:19:00
u0676,s78fym3pknlbd,activate,2025-07-01 03:19:00
u0207,scc7i563eidoo,signup,2025-07-01 03:28:00
u0793,sc09ng433oyz6,signup,2025-07-01 03:38:00
u0425,si8nwn7syved8,activate,2025-07-01 03:39:00
u0044,sdtlvw7vp8369,signup,2025-07-01 03:41:00
u0462,sllblju6jaqme,activate,2025-07-01 03:42:00
u0305,smnposaeiyv51,signup,2025-07-01 03:45:00
u0480,s1xkcawjnrxqi,signup,2025-07-01 03:49:00
u0118,sc1bdaa4j61w9,activate,2025-07-01 03:49:00
u0180,sq8vzq6kvu9eu,visit,2025-07-01 04:00:00
u0093,so5fxehakxvf8,visit,2025-07-01 04:00:00
u0696,skwp793pm5tsh,visit,2025-07-01 04:00:00
u0352,sd61nus3ujhnu,visit,2025-07-01 04:00:00
u0272,s5yzry9jgtkqo,visit,2025-07-01 04:00:00
u0141,svup9sl4eicnj,visit,2025-07-01 04:00:00
u0496,sltv06vomiqk3,visit,2025-07-01 04:00:00
u0467,sj5w2714s2dch,activate,2025-07-01 04:03:00
u0180,sq8vzq6kvu9eu,signup,2025-07-01 04:08:00
u0207,scc7i563eidoo,activate,2025-07-01 04:10:00
u0480,s1xkcawjnrxqi,activate,2025-07-01 04:11:00
u0305,smnposaeiyv51,activate,2025-07-01 04:15:00
u0272,s5yzry9jgtkqo,signup,2025-07-01 04:16:00
u0517,sr89vv69mltfb,activate,2025-07-01 04:16:00
u0793,sc09ng433oyz6,activate,2025-07-01 04:19:00
u0352,sd61nus3ujhnu,signup,2025-07-01 04:23:00
u0093,so5fxehakxvf8,signup,2025-07-01 04:37:00
u0352,sd61nus3ujhnu,activate,2025-07-01 04:39:00
u0171,soseetfq1rpiv,activate,2025-07-01 04:45:00
u0720,ss6s5g0bgvt18,visit,2025-07-01 05:00:00
u0557,spwywyj63o2i7,visit,2025-07-01 05:00:00
u0725,s4xhc8wd2w4ro,visit,2025-07-01 05:00:00
u0173,sfnc0f699gimu,visit,2025-07-01 05:00:00
u0214,stbaq9e5rhkpx,visit,2025-07-01 05:00:00
u0228,stnejk6uxllxa,visit,2025-07-01 05:00:00
u0039,sm7ao6kvsx42r,visit,2025-07-01 05:00:00
u0753,so95qs3ek8e0g,visit,2025-07-01 05:00:00
u0673,soncepom43gfa,visit,2025-07-01 05:00:00
u0748,stmld706dk3oi,visit,2025-07-01 05:00:00
u0642,svaiawg1n5mbm,visit,2025-07-01 05:00:00
u0724,s15iddd4jnjen,visit,2025-07-01 05:00:00
u0482,scklxjraz4i99,visit,2025-07-01 05:00:00
u0021,s9b359u23udzs,visit,2025-07-01 05:00:00
u0753,so95qs3ek8e0g,signup,2025-07-01 05:11:00
u0480,s1xkcawjnrxqi,purchase,2025-07-01 05:11:00
u0557,spwywyj63o2i7,signup,2025-07-01 05:16:00
u0748,stmld706dk3oi,activate,2025-07-01 05:17:00
u0081,srr72l4wzge7d,activate,2025-07-01 05:20:00
u0725,s4xhc8wd2w4ro,signup,2025-07-01 05:23:00
u0673,soncepom43gfa,signup,2025-07-01 05:25:00
u0039,sm7ao6kvsx42r,signup,2025-07-01 05:26:00
u0753,so95qs3ek8e0g,activate,2025-07-01 05:35:00
u0173,sfnc0f699gimu,signup,2025-07-01 05:42:00
u0748,stmld706dk3oi,signup,2025-07-01 05:47:00
u0044,sdtlvw7vp8369,activate,2025-07-01 05:58:00
u0063,squdp7gi2a1k4,visit,2025-07-01 06:00:00
u0453,szntul7u5tnsu,visit,2025-07-01 06:00:00
u0201,so3o3gx3bvu5e,visit,2025-07-01 06:00:00
u0522,snt07rdscp3hd,visit,2025-07-01 06:00:00
u0253,swcr2zjf6vrs6,visit,2025-07-01 06:00:00
u0682,s6giczfxlkvbq,visit,2025-07-01 06:00:00
u0613,s7l3q9hd6ioez,visit,2025-07-01 06:00:00
u0719,si4aus1swline,visit,2025-07-01 06:00:00
u0025,spvu28ekscszb,visit,2025-07-01 06:00:00
u0118,skkvqjr3omcb9,visit,2025-07-01 06:00:00
u0316,sh27neg8ve8mh,visit,2025-07-01 06:00:00
u0725,s4xhc8wd2w4ro,activate,2025-07-01 06:06:00
u0352,sd61nus3ujhnu,purchase,2025-07-01 06:07:00
u0316,sh27neg8ve8mh,signup,2025-07-01 06:10:00
u0557,spwywyj63o2i7,activate,2025-07-01 06:14:00
u0173,sfnc0f699gimu,activate,2025-07-01 06:18:00
u0517,sr89vv69mltfb,purchase,2025-07-01 06:29:00
u0613,s7l3q9hd6ioez,signup,2025-07-01 06:38:00
u0613,s7l3q9hd6ioez,activate,2025-07-01 06:39:00
u0118,skkvqjr3omcb9,signup,2025-07-01 06:42:00
u0201,so3o3gx3bvu5e,signup,2025-07-01 06:55:00
u0772,s7ssiozhsjb6w,visit,2025-07-01 07:00:00
u0608,spmbualkfusvl,visit,2025-07-01 07:00:00
u0110,snr08240zykq0,visit,2025-07-01 07:00:00
u0019,soesbzfbq6xke,visit,2025-07-01 07:00:00
u0080,s0o17yhujw6i3,visit,2025-07-01 07:00:00
u0084,sotdc7tmtnsh2,visit,2025-07-01 07:00:00
u0303,s0c3rsrp0dgyn,visit,2025-07-01 07:00:00
u0549,sqolxb5rezmv8,visit,2025-07-01 07:00:00
u0173,s660igf5ltolv,visit,2025-07-01 07:00:00
u0675,soolklwf8imej,visit,2025-07-01 07:00:00
